auc_RNA,F1Score_RNA,FPR_RNA,txDET_RNA,auc_MSC,F1Score_MSC,FPR_MSC,txDET_MSC,n_hidden,n_neurons,learning_rate,optimizer,hidden_func,kernel_size,drop
0.9475975974482584,0.8579017264276229,4.981992797118847,95.01800720288115,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,3,173,0.0018807151057978824,sgd,relu,10,0.7541839077527112
0.9582756051882227,0.8649362076550814,4.981992797118847,95.01800720288115,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,2,41,2.3176899293836162e-05,adam,relu,10,0.27735336006147926
0.9481520860208211,0.8303085299455535,4.921968787515006,95.07803121248499,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,6,192,0.003947929216569731,sgd,relu,3,0.79677102382268
0.8873256842090607,0.6488469601677148,4.921968787515006,95.07803121248499,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,13,493,0.001279842540188456,sgd,tanh,6,0.6978714716179055
0.8767695147653097,0.6265316995205115,4.921968787515006,95.07803121248499,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,6,382,0.00218068841547993,sgd,tanh,3,0.6638351633884179
0.9575560132918122,0.8629352137505508,4.981992797118847,95.01800720288115,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,16,72,0.00687265221005396,sgd,relu,6,0.5901486958168276
0.9563610033905857,0.8533333333333334,4.981992797118847,95.01800720288115,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,6,92,0.00011670873472810382,adam,tanh,3,0.3780885299855994
0.9598102704213416,0.8792354474370112,4.981992797118847,95.01800720288115,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,20,885,2.214692982042038e-05,adam,relu,5,0.7806763603478623
0.918594861308235,0.7296898079763664,4.981992797118847,95.01800720288115,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,8,481,0.0023658843163559323,sgd,tanh,1,0.2111766310121087
0.9608732473934065,0.8777729447585907,4.981992797118847,95.01800720288115,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,12,473,0.01,sgd,relu,4,0.667329804166418
0.8864071726453631,0.6283891547049442,4.981992797118847,95.01800720288115,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,8,82,0.0005258503621216026,sgd,tanh,7,0.6809533806707846
0.8736183785858999,0.6079913606911447,4.921968787515006,95.07803121248499,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,11,313,0.0013729676284338897,sgd,tanh,4,0.6408401516163995
0.966607106802953,0.8808695652173913,4.8019207683073235,95.19807923169267,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,17,460,0.002520609090751126,sgd,relu,6,0.6675881347560395
0.9567700319564446,0.8589119858469704,4.981992797118847,95.01800720288115,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,12,406,0.01,sgd,relu,7,0.8
0.9155722769638095,0.8482142857142857,4.981992797118847,95.01800720288115,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,20,918,3.727293024524934e-05,adam,tanh,6,0.44082474594231574
0.9507982148949057,0.8373141054529067,4.981992797118847,95.01800720288115,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,8,118,0.00036040478319164726,adam,tanh,3,0.3450502564080376
0.9519850193598566,0.8629352137505508,4.981992797118847,95.01800720288115,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,9,585,0.001401649600713144,sgd,relu,4,0.7903415692606086
0.8986578890048149,0.6742034943473793,4.981992797118847,95.01800720288115,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,1,359,4.557204705845882e-06,adam,tanh,10,0.6591066921051246
0.9390323652244659,0.7984969469234382,4.621848739495799,95.6782713085234,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,16,763,1.547925997074923e-05,adam,tanh,6,0.8
0.9162401497467255,0.7139291063404893,4.861944777911164,95.13805522208884,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,20,100,2.025644806868736e-06,adam,tanh,9,0.2189796147796959
0.8635605029087028,0.5701608430393789,4.921968787515006,95.07803121248499,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,20,784,0.00039853512761337505,sgd,tanh,3,0.7265871554401409
0.8574882314151842,0.5637883008356546,4.921968787515006,95.07803121248499,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,17,897,0.0003218707682317903,sgd,tanh,3,0.597497952145376
0.9346190837561206,0.8003722661703118,4.921968787515006,95.07803121248499,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,19,863,6.030959697043014e-05,adam,tanh,5,0.6773583397738616
0.8805029882707018,0.6565919749869723,4.921968787515006,95.07803121248499,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,6,68,0.0005609815505600077,sgd,tanh,2,0.3445779511796767
0.4837124576425434,0.039651070578905635,3.241296518607443,98.2593037214886,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,9,141,0.0009442234320326387,adam,tanh,3,0.2531178006718073
0.8444124957356598,0.5943293347873501,4.921968787515006,95.07803121248499,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,16,309,0.00015969342955650867,sgd,tanh,3,0.35826472125887276
0.8766026708943726,0.5963003264417845,4.981992797118847,95.01800720288115,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,4,466,0.0002979614140974804,sgd,tanh,8,0.7158054753143175
0.8316045556582202,0.5026117237376669,4.981992797118847,95.01800720288115,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,16,483,0.0001469929657082151,sgd,tanh,2,0.5634337626752706
0.8469720945544746,0.533257532689028,4.981992797118847,95.01800720288115,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,3,798,0.0003611458609508769,sgd,tanh,5,0.178223891286661
0.7471947353920856,0.5800770500825536,4.981992797118847,95.01800720288115,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,12,1,1.688683645637362e-05,adam,tanh,10,0.6229718768868575
