auc_RNA,F1Score_RNA,FPR_RNA,txDET_RNA,auc_MSC,F1Score_MSC,FPR_MSC,txDET_MSC,n_hidden,n_neurons,learning_rate,optimizer,hidden_func,lstm
0.6472405863753952,0.21961325966850828,4.921968787515006,95.07803121248499,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,6,443,0.00021640543689396252,adam,relu,429
0.7500785732685784,0.34234234234234234,4.861944777911164,95.13805522208884,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,6,599,0.00012639352806796352,adam,relu,408
0.7483469775648453,0.35038363171355497,4.981992797118847,95.01800720288115,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,7,556,5.6115942823784784e-05,adam,relu,376
0.7372174221801397,0.31282722513089006,4.921968787515006,95.07803121248499,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,7,394,7.789324446289237e-05,adam,relu,494
0.7389527476276344,0.30597504924491137,4.981992797118847,95.01800720288115,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,7,366,5.6197289544011025e-05,adam,relu,443
0.7043553958451649,0.2983498349834983,4.921968787515006,95.07803121248499,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,8,573,4.3219277278732256e-05,adam,relu,435
0.7414089082194601,0.3137254901960784,4.981992797118847,95.01800720288115,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,6,480,4.826410552408634e-05,adam,relu,458
0.7461143529491333,0.3732660781841109,4.981992797118847,95.01800720288115,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,5,338,6.512569418086702e-05,adam,relu,485
0.7239345613970526,0.29477858559153997,4.981992797118847,95.01800720288115,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,7,549,3.645998784557023e-05,adam,relu,409
0.6943994664974523,0.2822902796271638,4.981992797118847,95.01800720288115,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,14,406,5.904001406006869e-05,adam,relu,165
0.5861361943286014,0.16631130063965885,4.981992797118847,95.01800720288115,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,18,294,6.090712650100237e-05,adam,relu,188
0.7409354794113172,0.309305373525557,4.981992797118847,95.01800720288115,0.8993414337536361,0.8013364889322011,4.924242424242424,95.07575757575758,3,605,2.5585350156667018e-05,adam,relu,500
